C�digo �nico;Nombre del establecimiento;UBIGEO;Direcci�n;C�digo UE;NORTE;ESTE;Capacidad
1;CENTRO REHABILITACION ENFERMO MENTAL;160113;CALLE 3 DE MAYO S/N CPM QUILCATACTA;870;-73.32325;-3.73189;2148
2;SANTA MARIA DE NANAY;160102;CASERIO DE SANTA MARIA DE NANAY;870;-73.69678536;-3.88899772;3949
3;SAMITO I;160102;CASERIO DE SAMITO SIN NUMERO;870;-73.61092844;-3.86516692;2075
4;DIAMANTE AZUL;160102;CASERIO DE DIAMANTE AZUL;870;-73.77967025;-3.9013143;2756
5;MORONACOCHA;160101;CABALLERO LASTRE SIN NUMERO;870;-73.35446;-3.75344;3756
6;TUPAC AMARU DE IQUITOS;160101;SE�OR DE SIPAN N�317;870;-73.3622;-3.77097;2621
7;SAN ANTONIO DE IQUITOS;160101;OTROS ACTUALIZAR DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.37176;-3.77439;2649
8;1RO. DE ENERO;160101;PROLONGACION PUTUMAYO S/N;870;-73.35469;-3.78054;3830
9;VARGAS GUERRA;160101;CASERIO VARGAS GUERRA;870;-73.3462;-3.78329;2743
10;MANACAMIRI;160101;CASERIO MANACAMIRI - RIO NANAY;870;-73.28273;-3.71951;3587
11;P.S I-2 MAYNAS;160101;OTROS SAN ANTONIO S/N N�MERO S/N DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.40499;-3.80507;3757
12;FERNANDO LORES;160101;PROLONGACION PUTUMAYO;870;-73.46231;-3.83055;3558
13;P.S. I-1 PORVENIR DE IQUITOS;160101;OTROS AA.HH. PORVENIR SIN NUMERO DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.51423;-3.83116;2518
14;BELLAVISTA NANAY;160108;AV. LA MARINA N�2880;870;-73.3468;-3.4753;2016
15;P.S. PADRE COCHA;160108;OTROS ACTUALIZAR DISTRITO PUNCHANA PROVINCIA MAYNAS DEPARTAMENTO LORETO ;870;-73.27162;-3.69383;2593
16;BARRIO FLORIDO;160108;COMUNIDAD DE BARRIO FLORIDO RIO AMAZONAS;870;-73.19999;-3.62524;3195
17;SANTA MARIA DEL OJEAL;160108;CASERIO DE SANTA MARIA DEL OJEAL;870;-73.16687;-3.60286;3418
